lugar,implicado,fuente
,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 243
IPM Marfil-Vereda La Pizarra,Grupos Paramilitares,Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 14 Pp. 181
Corregimiento La Sierra,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 346 Enterrar y Callar Pp. 71
IP Pizarra,Guerrilla-FARC ,"Enterrar y Callar Pp. 99 EL TIEMPO, 19 de junio de 1983, p. 1A y 2A; EL ESPECTADOR, 20 de junio de 1983 p. 11A "
IPD Puerto Olaya-Vereda Vuelta Acuña,Grupos Paramilitares,Enterrar y Callar Pp. 188 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 14 Pp. 243
Vereda La Torre,Grupos Paramilitares,Enterrar y Callar Pp. 71 CPDH
Vereda Montebello,Grupo Armado No Identificado,"Enterrar y Callar Pp. 80 EL COLOMBIANO, 11 de julio de 1983, p. 10B"
Vía a Puerto Berrio,Grupos Paramilitares,Enterrar y Callar Pp. 189 Colombia Nunca Más Crímenes de lesa Humanidad Zona 14 Pp. 301
IPD Santa Rosa del Carare-Vereda La Corcovada,Grupos Paramilitares,Enterrar y Callar Pp. 188 Colombia Nunca Más.Crímenes de Lesa Humanidad Zona 14 Pp. 244
IPD La India,Grupos Paramilitares,"Enterrar y Callar Pp. 188 EL TIEMPO, 22 de julio de 1983, p. 2A; CPDH"
Finca Punta de Piedra,Grupos Paramilitares,"Enterrar y Callar Pp. 81 EL TIEMPO, 16 de agosto de 1983, p. 6B; VOZ, 25 de agosto de 1983, p. 14"
Corregimiento Puente Opón,Fuerza Pública-Policía Nacional,"Enterrar y Callar Pp. 71 EL TIEMPO, 8 de agosto de 1983, p. 3A"
IPD San José de Apartadó-Vereda Buenos Aires,Grupos Paramilitares,"Enterrar y Callar Pp. 20 EL TIEMPO, 17 de agosto de 1983, p. 3A; CPDH"
Zona Rural,Grupos Paramilitares,"Enterrar y Callar Pp. 122 EL TIEMPO, 30 de agosto de 1983, p. 3A; CPDH"
Vereda Cañaveral,Grupos Paramilitares,Enterrar y Callar Pp. 74 y 78 Colombia Nunca Más. Bajo Nordeste Antioqueño. Memoria Histórica Las masacres de Remedios y Segovia. Crónica de una democracia violentada 
,Fuerza Pública-Policía Nacional,Enterrar y Callar Pp. 72
IPM Puerto Romero-Vereda Guanegro,Grupos Paramilitares,Enterrar y Callar Pp. 102 Colombia Nunca Más. Crímenes de Lesa Humanidad zona 14 Pp. 182
Veredas San Juan de la Carrilera y Toroba,Grupos Paramilitares,Colombia Nunca Más Crímenes de Lesa Humanidad Zona 14 Pp. 247
Corregimiento La Sierra,Guerrilla-FARC ,Enterrar y Callar Pp. 71 CPDH
IPD Puerto Olaya-Vereda Vuelta Acuña,Fuerza Pública-Grupos Paramilitares,Enterrar y Callar Pp. 189 Colombia Nunca Más Crímenes de Lesa Humanidad Zona 14 Pp. 247
IPM Puerto Romero,Grupos Paramilitares,Enterrar y Callar Pp. 102 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 183
Finca Lopez Adentro,Fuerza Pública-Policía Nacional,"Enterrar y Callar Pp. 114 EL TIEMPO, 28 de enero de 1984, p. 10B"
IPD Los Morros (La Ye),Grupos Paramilitares,Enterrar y Callar Pp. 190 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 248
Finca Las Palmas,Guerrilla-FARC ,"EL TIEMPO, 8 de febrero de 1984, p. 1A y 13A"
Zona Rural,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 27
Finca La Tariara,Guerrilla-FARC ,"Enterrar y Callar Pp. 189 EL TIEMPO, 8 de febrero de 1984, p. 1A y 13A"
