lugar,implicado,fuente
Veredas 7 de Agosto y Guaduas,Grupos Paramilitares,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 49 Enterrar y Callar Vol 2 Pp. 125 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Vereda La Arabia,Grupos Paramilitares,Enterrar y Callar Vol. 2 Pp. 87 Boletín de Prensa CPDH
Corregimiento Currulao,Otro Grupo Armado-Comandos Populares,Enterrar y Callar Vol. 2 Pp. 22 Boletín de Prensa CPDH
Zona Rural,Guerrilla-EPL ,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 54
Corregimiento Currulao,Guerrilla Conjunta-FARC y EPL,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 54 Enterrar y Callar Vol. 2 Pp. 84
IP Churidó,Guerrilla Conjunta-FARC y EPL,Boletín Informativo Justicia y Paz Vol. 6 No 4  Pp. 54 
Corregimiento Mulatos-Vereda Aguasvivas,Grupos Paramilitares,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 55
Corregimiento Nueva Colonia,Grupos Paramilitares,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 55 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
"Sitios Nuevos Cifres, Quilcasé, La Alianza y Juana Castaño- Vía a Timbio-Vereda Pueblo Nuevo",Grupo Armado No Identificado,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 56
Finca Filipinas,Guerrilla-FARC ,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 85
Vereda La Puya,Guerrilla-FARC ,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 86 Enterrar y Callar Vol. 2 Pp. 76
Corregimiento Nueva Colonia,Guerrilla-FARC ,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 86 Enterrar y Callar Vol. 2 Pp. 76
Corregimiento Nueva Colonia-Finca Los Katios,Otro Grupo Armado-Comandos Populares,Boletín Informativo Justicia y Paz Vol. 6 No 4 Pp. 86 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupo Armado No Identificado,Boletin Justicia y Paz Vol 7 No 1 Pp. 29
IP Puerto Lleras,Fuerza Pública-Ejército Nacional,Boletin Justicia y Paz Vol 7 No 1 Pp. 23 Comisión Interamericana de Derechos Humanos- Informe de Fondo No 61 de 1999
Vereda Acapulco,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 1 Pp. 35 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Cabecera Municipal,Grupo Armado No Identificado,Boletin Justicia y Paz Vol 7 No 1 Pp. 23-24 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander Pp. 207-208
Corregimiento Puerto Oculto-Vereda La Culebra,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar Pp. 90-91
Finca El Espíritu,Grupo Armado No Identificado,Boletín Informativo Justicia y Paz Vol. 7 No 1 Pp. 26 Unidad de Justicia y Paz. Masacres en el Cesar
Cabecera Municipal,Guerrilla-FARC ,Boletin Justicia y Paz Vol 7 No 1 Pp. 26
Vereda Chorrillos,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 1 Pp. 59 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Chapa,Grupo Armado No Identificado,Boletin Justicia y Paz Vol 7 No 1 Pp. 56
,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 1 Pp. 57 Ceder es más terrible que la muerte Pp. 133
Corregimiento La Gran Vía,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 1 Pp. 57 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Caserío Santa Rosalía,Grupos Paramilitares,"Noche y Niebla # 39 Actualizaciones Pág. 224 Versión Libre Adán Rojas Ospina, alias ""Carrancho"""
Finca Loma Arena,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 1 Pp. 87 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda La Selva,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 1 Pp. 88 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Sitio Los Cedros,Grupo Armado No Identificado,Boletin Justicia y Paz Vol 7 No 1 Pp. 92
Corregimiento Carbonero,Grupo Armado No Identificado,Boletin Justicia y Paz Vol 7 No 1 Pp. 90
Vereda Quebradillas,Grupo Armado No Identificado,Boletin Justicia y Paz Vol 7 No 2 Pp. 55
Corregimiento San Angel,Grupo Armado No Identificado,Boletin Justicia y Paz Vol 7 No 2 Pp. 60
Finca Hato Nuevo,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 2 Pp. 90 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento El Mellizo-Vereda La Nueva Esperanza,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 2 Pp. 90 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Río Guayuriba,Grupos Paramilitares,Ceder es más terrible que la muerte Pp. 135 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 332
Corregimiento Minas,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 3 Pp. 39 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Sitio Marocazo,Guerrilla-EPL ,Boletin Justicia y Paz Vol 7 No 3 Pp. 103
Vereda Camino Nacional,Guerrilla-FARC ,Boletin Justicia y Paz Vol 7 No 3 Pp. 105
Sitio La Laguna,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 3 Pp. 111 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanos
Vereda El Páramo,Grupos Paramilitares, Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander Pp. 144
IP Corocito Macagua,Guerrilla-ELN ,Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Boletín Justicia y Paz Vol 7 No 4 Pp. 41
Corregimiento La Habana,Guerrilla No Identificada,Boletin Justicia y Paz Vol 7 No 4 Pp. 64
IPD La Vega,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 4 Pp. 65 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Cabecera Municipal,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 4 Pp. 66
Vereda La Ruda,Grupos Paramilitares,"Boletin Justicia y Paz Vol 7 No 4 Pp. 93  Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Salvatore Mancuso. Medellin, 15 de Enero de 2007"
Corregimiento Pueblo Nuevo y Veredas La Loma y Ecuador,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 4 Pp. 94
"Corregimiento El Tres-Veredas Riomar, La Tachuela, Monteverde, La Pola y Puerto Cesar",Guerrilla-EPL ,Boletín Justicia y Paz Vol 8 No 1 Pp. 94
Sitio San Rafael de Lebrija,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol 8 No 1 Pp. 34  
Vía El Mellito y Las Changas,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 1 Pp. 34 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Puerto Patiño,Grupos Paramilitares,"Boletín Justicia y Paz Vol 8 No 1 Pp. 35-36 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Francisco Prada Márquez, alias ""Juancho Prada"". Barranquilla, 16 y 17 de Mayo de 2007 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar"
Zona Rural,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 1 Pp. 40-41
Cabecera Municipal,Guerrilla-ELN ,Boletín Justicia y Paz Vol 8 No 1 Pp. 37 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 1 Pp. 41
Caserío Román,Guerrilla-ELN ,Boletín Justicia y Paz Vol 8 No 1 Pp. 63 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Vereda El Puerto,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 1 Pp. 63 
Vereda La Yegüerita,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 1 Pp. 65-66 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Corregimiento Corozal-Vereda Manzanillo,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 1 Pp. 93
Vereda El Cativo,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 1 Pp. 95
Corregimiento Guacamayal,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 1 Pp. 100
Corregimiento La Pedregosa (La Esperanza)-Vereda Casablanca (La Esperanza) y Vereda Los Cocos (San Alberto),Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 2 Pp. 36 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2008 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 sur de Cesar
Corregimiento Currulao,Grupos Paramilitares,"Boletín Justicia y Paz Vol 8 No 2 Pp. 37 Versión Libre Ever Veloza, alias ""HH""."
Corregimiento La Llana-Vereda Los Tendidos,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 2 Pp. 39 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2008 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 sur de Cesar
Vereda El Barro,Guerrilla-ELN ,Boletín Justicia y Paz Vol 8 No 2 Pp. 40
Zona Rural,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 2 Pp. 64 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2008
Zona Rural,Guerrilla-ELN ,Boletín Justicia y Paz Vol 8 No 2 Pp. 66
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 2 Pp. 68 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2008
Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 2 Pp. 72
,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 2 Pp. 73
Vereda La Ana,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 2 Pp. 102
Cabecera Municipal,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 2 Pp. 106
Cabecera Municipal,Grupos Paramilitares,"Boletín Justicia y Paz Vol 8 No 2  Pp. 107 Versión Libre Ever Veloza, alias ""HH"". Medellin, 26 de Noviembre de 2007"
Caserío Zungo Embarcadero  ,Otro Grupo Armado-Comandos Populares,Boletín Justicia y Paz Vol 8 No 3 Pp. 24 Caso Tipo Deuda contra la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento El Tres,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 3 Pp. 29
Cabecera Municipal,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 3  Pp. 57
Cabecera Municipal- Bar El Aracatazo,Otro Grupo Armado-Comandos Populares,"Boletín Justicia y Paz Vol 8 No 3 Pp. 58 Caso Tipo Deuda contra la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Ever Veloza, alias ""HH"". Medellin, 30 de Octubre de 2007"
Corregimiento Riogrande,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 3 Pp. 60
Corregimiento Churidó,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 3 Pp. 60
Vereda El Limón,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 3 Pp. 61
Corregimiento El Jordán,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 3 Pp. 62
Caserío Zungo Embarcadero-Finca Los Kunas,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 3 Pp. 63
Zona Rural,Grupo Armado No Identificado,Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Boletín Justicia y Paz Vol 8 No 3 Pp. 92
Corregimiento Currulao-Vereda La Galleta,Grupos Paramilitares,"Boletín Justicia y Paz Vol 8 No 3 Pp. 92 Caso Tipo Deuda contra la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Ever Veloza, alias ""HH"". Medellin, 28 de Noviembre de 2007"
Sitio Bajo del Oso,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 3 Pp. 94-95
Cabecera Municipal,Guerrilla No Identificada,Boletín Justicia y Paz Vol 8 No 3 Pp. 104
Cabecera Municipal,Guerrilla No Identificada,Boletín Justicia y Paz Vol 8 No 4 Pp. 29
Vereda La Angelita,Guerrilla-ELN ,Boletín Justicia y Paz Vol 8 No 4 Pp. 28 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH
Vereda Mono Macho,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 4 Pp. 28
Corregimiento El Tres,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 4 Pp. 28
Vereda J-25,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 4 Pp. 60 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
IP Capitán y Vereda Acandi Seco,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 4 Pp. 54-55 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda La Legía,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 4 Pp. 55 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano
IP Zabaletas-Vereda Aguaclara,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 4 Pp. 56
Vía a Necoclí,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 4 Pp. 76
ID El Pedral,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 4 Pp. 79
Corregimiento Bonda,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 8 No 4 Pp. 79
Vía a Uribia,Fuerza Pública-Ejército Nacional,Organización Fuerza Mujeres Wayuu www.victimaswayuu.blogspot.com 
IPD La Laguna,Guerrilla-ELN ,Boletín Justicia y Paz Vol 9 No 1 Pp. 11
Cabecera Municipal,Guerrilla No Identificada,Boletín Justicia y Paz Vol 9 No 1 Pp. 39
Veredas Congo y Cacanal,Guerrilla-FARC ,Boletín Justicia y Paz Vol 9 No 1 Pp. 35
Cabecera Municipal,Guerrilla-FARC ,Boletín Justicia y Paz Vol 9 No 1 Pp. 40
Caserío Zungo Embarcadero-Finca Osaka,Guerrilla-FARC ,Boletín Justicia y Paz Vol 9 No 1 Pp. 36
Vereda Alto Raudal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 9 No 1 Pp. 65 Ceder es más terrible que la muerte Pp. 135
Corregimiento Belén de Bajirá,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 1 Pp. 60
Corregimiento Bodega Central,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar Pp. 73-74
Vereda Los Planes,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 1 Pp. 62 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Corregimiento Puerto Valdivia-Vereda Juntas,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 8 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,"Versión Libre Ever Veloza, alias ""HH"". Medellin, 31 de Octubre de 2007 Audiencia de Imputación Ever Veloza García, alias ""HH"", 25 de Julio de 2008"
Caserío Monteloro,Guerrilla-FARC ,Boletín Justicia y Paz Vol 9 No 2 Pp. 9-10
 IPD Piñalito-Vereda Las Delicias,Guerrilla-FARC ,Boletín Justicia y Paz Vol 9 No 2 Pp. 10 Ceder es más terrible que la muerte Pp. 146 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 254
Corregimiento El Dos,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 9 No 2 Pp. 11
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 12 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento La Pedregosa-Vereda Casablanca,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 9 No 2 Pp. 12 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 12 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Memoria Histórica Caso Segovia Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 491
Vía a Carolina,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 14 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda Guarumo,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 42 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5
Corregimientos Alto de Mulatos y Pueblo Bello,Guerrilla Conjunta-FARC y EPL,Boletín Justicia y Paz Vol 9 No 2 Pp. 43
Sitio Termales-Resguardo Indígena El Silencio,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol 9 No 2 Pp. 44 
Cabecera Municipal,Grupos Paramilitares,"Boletín Justicia y Paz Vol 9 No 2 Pp. 44 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Uber Enrique Banquez, alias ""Juancho Dique"". Barranquilla, 18 de Diciembre de 2007"
Corregimiento Coredó,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 45 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
IPD San José de Apartado-Vereda Los Mandarinos,Grupos Paramilitares,"Boletín Justicia y Paz Vol 9 No 2 Pp. 45 Versión Libre Ever Veloza, alias ""HH"". Medellin, 27 de Noviembre de 2007"
IPD Guamalito,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 47 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Caserío San Joaquin,Guerrilla-FARC ,Boletín Justicia y Paz Vol 9 No 2 Pp. 47 
Comunidad El Martillo,Grupos Paramilitares,"Boletín Justicia y Paz Vol 9 No 2 Pp. 69 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Salvatore Mancuso. Medellin, 15 de Enero de 2007"
Corregimiento La Granja,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 70 Comisión Interamerica de Derechos Humanos-Informe de Admisibilidad No 57 de 2000. Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 568
Corregimiento Currulao-Vereda La Arcúa,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 9 No 2 Pp. 71
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 9 No 2 Pp. 72-73 Comisión Interamerica de Derechos Humanos-Informe de Admisibilidad No 71 de 2009
Vereda Loma Central,Guerrilla-FARC ,Noche y Niebla # 1 Pp. 61
Zona Rural,Grupos Paramilitares,Noche y Niebla # 1 Pp. 19 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 159
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 1 Pp. 20 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Sucre,Grupos Paramilitares,Noche y Niebla # 1 Pp. 20 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vía Arauca-Bogotá,Guerrilla-FARC ,Noche y Niebla # 1 Pp. 61
IPD La Vega,Grupos Paramilitares,Noche y Niebla # 1 Pp. 33 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
 ,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander Pp. 146
Hacienda Bellacruz,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar Pp. 106
"Veredas La Cueva, La Lomita y La Cordillera",Grupos Paramilitares,Noche y Niebla # 1 Pp. 34 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal y Vereda La Paloma,Grupos Paramilitares,Noche y Niebla # 1 Pp.  35 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,"Noche y Niebla # 1 Pp. 47 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Rodrigo Tovar Pupo, alias ""Jorge 40"". Barranquilla, 9 de Julio de 2007 Unidad de Justicia y Paz. Masacres en Magdalena"
Cabecera Municipal,Fuerza Pública-Ejército Nacional,Noche y Niebla # 2 Actualizaciones Pp. 144
IPD San José de Apartado,Fuerza Pública-Ejército Nacional,Noche y Niebla # 1 Pp. 52 Fusil o Toga. Toga y Fusil. El Estado contra la comunidad de paz de San José de Apartado Pp. 25 
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 1 Pp. 52
Corregimiento Tasajera,Grupos Paramilitares,Noche y Niebla # 2 Pp. 24
Corregimiento Belén de Bajirá,Grupos Paramilitares,Noche y Niebla # 2 Pp. 24 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Caserío Brisas de las Madres,Grupos Paramilitares,Noche y Niebla # 2 Pp.  24 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda San Miguel,Grupos Paramilitares,Noche y Niebla # 2 Pp. 25  Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Fincas Cabo de Hornos y Flores Negras,Guerrilla-FARC ,Noche y Niebla # 2 Pp. 86
Cabecera Municipal,Grupos Paramilitares,"Noche y Niebla # 2 Pp.  32 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Rodrigo Tovar Pupo, alias ""Jorge 40"". Barranquilla, 7 de Julio de 2007 Unidad de Justicia y Paz. Masacres en Magdalena"
Corregimiento Riogrande,Grupos Paramilitares,"Versión Libre Ever Veloza. Medellin, 31 de Octubre de 2007"
Corregimiento Media Luna,Grupos Paramilitares,Noche y Niebla # 2 Pp. 27 Versión Libre Salvatore Mancuso 15 de Enero de 2007 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Norean,Grupos Paramilitares,Noche y Niebla # 2 Pp. 95 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Corregimiento La Susana,Grupos Paramilitares,Noche y Niebla # 2 Pp. 95 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 593
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 2 Pp. 95 Caso Tipo En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Sitio El Bosque,Grupos Paramilitares,Noche y Niebla # 2 Pp. 95  En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Nutibara-Veredas El Pozo y Curadientes,Grupos Paramilitares,Noche y Niebla # 2 Pp. 96 Caso Tipo En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Caserío La Venta,Grupos Paramilitares,Noche y Niebla # 2 Pp. 97
Vía Medellin-Turbo,Grupos Paramilitares,Noche y Niebla # 2 Pp.  98 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 2 Pp. 98  Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Veredas Guacamayal y San José de Kennedy,Grupos Paramilitares,"Noche y Niebla # 2 Pp. 99 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Unidad de Justicia y Paz. Masacres en el Magdalena Versión Libre Adan Rojas Mendonza, alias ""El Negro"", 19 de Noviembre de 2008"
Corregimiento Maringola,Grupos Paramilitares,Noche y Niebla # 2 Pp. 99  Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 2 Pp. 100
Corregimiento El Piñal,Grupos Paramilitares,Noche y Niebla # 2 Pp. 100 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
 Sitio La Mayoría,Grupos Paramilitares,Noche y Niebla # 2 Pp. 101 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 2 Pp. 101  Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento La Mina y Sitio Los Ceibotes,Grupos Paramilitares,Noche y Niebla # 2 Pp. 108
"Cabecera Municipal (Coloso), Corregimiento Varsovia (Toluviejo) y Morroa (Sitio Pichilín)",Grupos Paramilitares,Noche y Niebla # 2 Pp. 109 Versión Libre Salvatore Mancuso 15 de Enero de 2007 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Sitio Bocas de Cartagena,Guerrilla-FARC ,Noche y Niebla # 2 Pp. 108-109
Corregimiento Minas,Grupos Paramilitares,Noche y Niebla # 2 Pp. 59 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Sitio Tafetanes,Grupos Paramilitares,Noche y Niebla # 2 Pp. 59 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 172
Vereda El Salado,Grupos Paramilitares,Noche y Niebla # 2 Pp.  110 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Guasabra,Grupos Paramilitares,Noche y Niebla # 2 Pp.  110 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda El Tambo,Grupos Paramilitares,Noche y Niebla # 2 Pp. 111
